short_name,age,height_cm,weight_kg,overall,potential,pace,shooting,passing,dribbling,defending,physic,player_positions,position_category
I. Pherai,20,175,74,66,76,75,51,61,73,34,45,"LM, CAM",MIDFIELDER
D. Ballard,21,187,85,66,76,51,30,49,50,66,69,CB,DEFENDER
E. Bekiroglu,25,185,84,66,69,69,62,65,69,45,68,"CM, CAM, CDM",MIDFIELDER
H. Pernía,30,183,82,66,66,55,25,47,37,68,64,"CB, RB",DEFENDER
A. Bernier,23,170,68,66,72,82,61,60,68,29,57,"RM, LM, ST",MIDFIELDER
P. Schmidt,27,185,83,66,66,66,66,43,60,27,73,"ST, RM",ATTACKER
W. Burger,20,190,80,66,77,75,55,63,66,60,73,"CM, CDM",MIDFIELDER
A. El Bouchataoui,21,178,74,66,76,67,52,67,68,55,63,"CM, CDM",MIDFIELDER
A. Elogo,26,179,72,66,67,88,61,59,67,32,65,"LM, CAM, CM",MIDFIELDER
R. Stewart,24,193,81,66,70,71,64,51,59,26,69,"ST, LM",ATTACKER
J. Stanić,22,184,81,66,74,61,27,54,55,66,71,"RB, CB",DEFENDER
I. Domínguez,21,172,68,66,77,72,33,54,58,63,63,LB,DEFENDER
E. Erhahon,20,178,66,66,76,73,58,62,66,63,65,CM,MIDFIELDER
S. van Hooijdonk,21,190,80,66,75,76,68,55,62,26,67,"ST, LW",ATTACKER
S. Beusnard,29,170,62,66,66,80,64,59,68,23,46,"RM, LM, CAM",MIDFIELDER
T. Hájek,29,187,77,66,67,50,27,48,38,67,66,CB,DEFENDER
Kim Moon Hwan,25,172,64,66,69,85,54,61,67,58,60,"RB, RM",DEFENDER
G. Compagnucci,29,178,73,66,66,75,58,61,64,34,57,RM,MIDFIELDER
N. Tiknizyan,22,180,75,66,77,75,57,61,66,60,58,"LM, LB",MIDFIELDER
E. Karic,24,184,81,66,71,76,43,57,60,60,74,"LB, LM",DEFENDER
C. Benavídez,23,180,77,66,72,65,44,57,62,69,64,"CDM, CM",MIDFIELDER
Juan Ibiza,25,187,78,66,71,59,34,48,50,67,64,CB,DEFENDER
Gonçalo Cardoso,20,189,83,66,77,54,29,38,48,65,73,CB,DEFENDER
M. Insaurralde,22,176,70,66,73,73,53,64,68,56,66,"CM, CDM",MIDFIELDER
K. Michael,21,176,70,66,76,75,64,68,70,52,58,CM,MIDFIELDER
X. Simons,18,168,58,66,83,68,57,66,70,57,60,CM,MIDFIELDER
G. Ferrari,24,184,76,66,73,68,40,55,57,64,73,"CB, RB",DEFENDER
F. Colidio,21,179,68,66,75,68,67,63,70,25,44,"ST, CAM",ATTACKER
A. Lomovitskiy,23,181,73,66,74,78,55,61,70,34,50,"RM, LM",MIDFIELDER
G. Henriksson,23,188,80,66,74,64,39,56,50,65,68,CB,DEFENDER
Ezequiel,23,167,65,66,72,92,60,57,72,34,55,"CF, RM, LM",ATTACKER
W. Ditta,24,180,80,66,73,56,24,46,53,62,78,CB,DEFENDER
M. Ross,20,191,81,66,75,68,26,48,54,66,73,CB,DEFENDER
D. Chambost,23,177,70,66,72,64,64,66,66,52,65,"CAM, CM, ST",ATTACKER
Y. Góez,21,179,75,66,74,69,51,67,69,58,66,"CDM, CM",MIDFIELDER
A. Reyes,21,183,81,66,78,65,33,38,47,66,78,CB,DEFENDER
J. Gelhardt,19,175,76,66,82,73,66,57,69,27,63,"ST, CAM",ATTACKER
E. Vega,31,168,69,66,66,66,51,63,62,64,68,"CDM, CM",MIDFIELDER
André Luís,27,184,78,66,67,67,67,48,65,24,70,ST,ATTACKER
A. Díaz,21,172,73,66,76,73,62,49,68,23,68,ST,ATTACKER
C. Mola,20,183,78,66,77,68,40,63,65,62,61,"LB, CDM",DEFENDER
P. Will,22,185,77,66,75,63,49,67,62,62,75,"CDM, CM",MIDFIELDER
E. Pletinckx,20,190,87,66,77,48,29,43,46,66,75,CB,DEFENDER
S. Plaza,22,187,80,66,75,73,65,53,65,26,70,ST,ATTACKER
M. Mudryk,20,175,61,66,76,81,48,58,73,32,60,LM,MIDFIELDER
A. Nalić,23,190,83,66,75,78,62,58,69,43,70,"CAM, RW, ST",ATTACKER
S. Bjørshol,27,184,72,66,67,76,27,55,61,60,71,RB,DEFENDER
L. Dajaku,20,180,75,66,78,77,64,54,69,22,56,"RW, LW, CAM",ATTACKER
R. Matsumoto,33,175,66,66,66,83,54,62,64,57,65,"RM, LM",MIDFIELDER
C. Ngonge,21,179,67,66,76,82,62,53,72,31,61,RM,MIDFIELDER
G. Haag,21,185,80,66,77,71,32,56,65,63,72,"CDM, CM, CB",MIDFIELDER
J. Zwarts,22,190,83,66,75,82,65,51,64,23,71,"ST, LW, RW",ATTACKER
L. Paiva,27,156,57,66,66,67,67,63,66,45,45,"RM, CM, LM",MIDFIELDER
K. Yuruki,25,183,70,66,67,88,49,58,65,36,63,LM,MIDFIELDER
S. Haudum,26,188,74,66,70,54,52,61,60,63,69,"CDM, CM",MIDFIELDER
M. Kamara,23,184,77,66,75,78,63,52,69,29,67,"ST, RW, LW",ATTACKER
F. Quinteros,22,176,69,66,75,67,42,54,63,63,56,LB,DEFENDER
M. Loría,24,178,77,66,72,79,63,61,68,41,58,"RM, LM",MIDFIELDER
V. Dragsnes,27,187,82,66,67,75,50,58,57,59,69,"LWB, CB",DEFENDER
O. Lebedenko,22,174,63,66,77,73,44,57,57,62,54,"LB, LWB",DEFENDER
A. Colorado,22,182,71,66,77,70,43,56,63,62,73,CDM,MIDFIELDER
C. Sertel,21,186,80,66,77,67,36,58,62,64,67,"LB, CB",DEFENDER
A. Gutman,24,183,72,66,72,78,44,56,58,63,70,"LB, LWB",DEFENDER
W. Isidor,20,186,74,66,77,67,65,54,66,21,57,ST,ATTACKER
Y. Machida,31,166,55,66,66,90,58,63,67,40,47,CF,ATTACKER
Andre Shinyashiki,24,175,68,66,72,77,62,56,70,39,62,"LM, ST, CAM",MIDFIELDER
G. Avila,19,182,75,66,80,69,28,39,48,67,70,"CB, LB",DEFENDER
R. Ashurmatov,24,185,83,66,73,71,43,54,60,65,75,CB,DEFENDER
H. Dotson,23,180,77,66,72,65,60,58,64,65,67,"CDM, CM, LB",MIDFIELDER
B. Sekulić,29,188,73,66,66,66,32,58,61,64,69,"RB, RM",DEFENDER
C. Zady Sery,21,177,72,66,74,86,55,61,68,21,52,"LM, RM, CAM",MIDFIELDER
L. Leroy,21,187,82,66,75,63,55,65,68,57,69,"CM, CAM, CDM",MIDFIELDER
J. Branthwaite,19,195,74,66,84,63,29,45,47,66,64,CB,DEFENDER
Kim Tae Hwan,21,179,73,66,78,76,39,52,59,63,73,"RWB, RM",DEFENDER
A. Barman,27,175,71,66,68,61,47,59,61,64,73,CDM,MIDFIELDER
A. Miron,27,185,86,66,66,50,38,48,51,65,76,CB,DEFENDER
A. Pițian,25,192,89,66,69,58,47,52,50,64,80,CB,DEFENDER
C. Golofca,31,168,69,66,66,89,60,61,67,51,61,"RW, RM",ATTACKER
C. Petrila,20,176,67,66,80,81,58,64,67,34,52,"RW, ST",ATTACKER
P. Iacob,25,185,80,66,70,67,49,58,63,66,72,"CB, CM",DEFENDER
A. Artean,27,185,81,66,67,69,62,59,61,64,78,"CDM, CM",MIDFIELDER
J. Carls,24,177,70,66,73,84,56,56,66,57,59,LB,DEFENDER
S. Cabrera,23,174,68,66,75,71,38,58,63,61,62,LB,DEFENDER
D. Kother,21,180,67,66,75,76,60,54,70,21,49,LW,ATTACKER
L. Mbe Soh,20,187,86,66,76,61,29,49,48,66,70,CB,DEFENDER
Y. Hasegawa,24,178,77,66,71,54,46,65,64,60,69,"CM, CDM",MIDFIELDER
J. Chougrani,30,185,82,66,66,79,28,53,57,65,73,"CB, LWB, LM",DEFENDER
Sergio Camello,20,177,69,66,81,68,66,52,67,24,43,ST,ATTACKER
Zé Uilton,28,175,67,66,66,74,58,59,69,27,49,"RW, LW",ATTACKER
H. Fernández,23,172,71,66,75,76,59,63,65,43,55,LM,MIDFIELDER
F. Cardozo,20,173,72,66,75,72,53,58,69,26,59,RM,MIDFIELDER
K. Imeri,21,173,73,66,81,71,65,64,69,56,65,"LW, CAM, CM",ATTACKER
M. Svoboda,22,195,85,66,74,58,41,53,58,65,77,"CDM, CB, CM",MIDFIELDER
M. Ekpiteta,25,193,84,66,70,69,28,46,51,65,74,CB,DEFENDER
L. Greiml,19,186,76,66,79,57,30,48,46,66,71,CB,DEFENDER
S. Sonnenberg,22,194,87,66,73,62,28,41,49,66,75,CB,DEFENDER
J. Marx,26,171,69,66,68,90,38,52,64,55,56,"RB, RM",DEFENDER
J. Gaari,27,181,77,66,67,75,40,52,63,62,71,RB,DEFENDER
D. Köhn,22,180,73,66,75,82,46,65,68,57,67,LB,DEFENDER
J. Holúbek,30,180,79,66,66,73,25,51,61,62,64,LB,DEFENDER
Larrazabal,23,180,78,66,74,78,61,61,66,48,68,"RM, RB, RWB",MIDFIELDER
C. Neguț,25,176,72,66,68,80,57,62,67,30,63,RM,MIDFIELDER
M. Domański,30,168,62,66,66,77,66,63,66,56,68,"CAM, CM",ATTACKER
M. Miers,31,185,81,66,66,55,34,42,44,69,63,CB,DEFENDER
B. Sam,23,171,66,66,71,75,30,54,62,63,60,"LB, CB, CDM",DEFENDER
J. Bay,28,179,79,66,66,73,47,54,65,62,70,"LB, LWB",DEFENDER
M. Balda,29,173,67,66,66,72,63,62,65,54,49,"CAM, LM, RM",ATTACKER
W. Coulibaly,22,188,84,66,74,71,35,54,60,62,77,"RB, RWB",DEFENDER
T. Huk,26,184,80,66,69,63,29,47,44,66,67,CB,DEFENDER
K. Klefisch,21,186,79,66,71,67,52,55,62,64,75,"CDM, CM",MIDFIELDER
Tiago Dantas,20,169,58,66,81,70,53,69,73,42,42,"CM, CAM",MIDFIELDER
I. Van der Brempt,19,191,76,66,82,74,52,57,64,60,67,"RB, RM",DEFENDER
N. Dyhr,20,177,66,66,73,78,52,60,65,60,64,"LB, LWB",DEFENDER
G. Fernández,27,186,78,66,67,77,63,57,61,47,80,ST,ATTACKER
U. Akyol,23,180,74,66,73,67,49,63,67,66,69,"CM, CDM",MIDFIELDER
R. Hendriks,19,189,76,66,80,70,33,54,57,66,66,"CB, LB",DEFENDER
Berto,23,172,70,66,75,84,65,60,66,35,50,"LM, ST",MIDFIELDER
A. Gómez,33,169,73,66,66,63,62,63,67,46,50,"CAM, RM, CM",ATTACKER
S. Tanaka,24,183,68,66,71,56,39,57,57,66,68,CB,DEFENDER
K. Koindredi,19,184,77,66,81,66,67,67,67,45,65,CM,MIDFIELDER
Saúl Crespo,24,186,79,66,73,61,52,61,61,63,72,"CDM, CM",MIDFIELDER
B. Rollheiser,21,175,71,66,76,78,62,60,71,32,50,"RW, RM",ATTACKER
Riquelme,21,174,66,66,80,76,62,57,69,40,53,"RM, LM",MIDFIELDER
M. Aničić,31,192,86,66,66,51,33,45,40,67,71,CB,DEFENDER
Jota Gonçalves,21,186,76,66,76,58,31,33,49,68,66,CB,DEFENDER
I. Jack,23,187,75,66,73,55,45,58,61,63,71,"CDM, CM",MIDFIELDER
H. Ortega,21,190,81,66,77,53,32,42,46,67,70,CB,DEFENDER
A. Atouchi,29,186,78,66,66,59,37,40,40,69,71,CB,DEFENDER
M. Taabouni,19,170,68,66,83,76,55,62,72,43,51,"CAM, LW",ATTACKER
A. Doughty,21,183,68,66,76,82,46,59,62,56,57,"LWB, LB",DEFENDER
A. Rouault,20,187,76,66,78,64,30,48,47,65,69,CB,DEFENDER
W. Singo,20,190,79,66,81,77,40,57,67,62,59,"RWB, RB, RM",DEFENDER
V. Zagaritis,20,178,68,66,80,76,42,51,63,63,61,"LB, LM",DEFENDER
Félix Correia,20,178,72,66,82,82,58,57,73,32,53,"RW, LW",ATTACKER
A. Tapsoba,19,177,70,66,80,83,66,51,70,22,54,"RW, ST",ATTACKER
A. Cougo,25,180,73,66,70,79,52,59,60,57,69,"LB, LWB, LM",DEFENDER
R. Redes,21,175,75,66,76,79,62,63,68,45,62,"RW, LW",ATTACKER
F. Franco,22,177,73,66,75,76,41,62,61,62,70,RB,DEFENDER
N. Acevedo,22,173,73,66,79,77,55,59,65,65,64,CDM,MIDFIELDER
J. Trasante,22,175,70,66,74,64,57,57,64,62,72,"CM, CDM",MIDFIELDER
J. Chalá,26,182,70,66,67,80,60,60,67,33,63,"RW, RM",ATTACKER
O. Edvardsen,22,175,70,66,73,90,60,55,69,46,75,"RW, ST, LW",ATTACKER
D. Yongwa,20,174,65,66,76,83,40,59,64,58,64,LB,DEFENDER
E. Pérez,28,174,66,66,66,77,54,60,67,46,65,"RM, RW",MIDFIELDER
D. Febles,30,180,74,66,66,71,63,47,59,33,67,"ST, RM",ATTACKER
M. Villarroel,22,177,74,66,75,64,54,63,64,56,67,"CM, CDM",MIDFIELDER
J. Reyes,33,178,79,66,66,71,32,56,58,61,59,"LB, LM",DEFENDER
B. Velarde,22,180,72,66,70,53,28,44,46,65,71,CB,DEFENDER
A. Ferro,20,181,77,66,77,65,38,55,60,67,69,CB,DEFENDER
G. Castillo,30,179,74,66,66,61,42,46,48,68,66,CB,DEFENDER
J. Barco,23,175,70,66,72,54,59,69,62,65,70,"CM, CDM",MIDFIELDER
L. Bolívar,31,167,70,66,66,66,50,61,65,63,68,"RB, LB",DEFENDER
R. Hernández,27,165,66,66,66,71,63,61,68,41,63,RM,MIDFIELDER
J. Mancín,21,165,61,66,76,68,62,68,68,52,73,"RW, LW, LM",ATTACKER
A. Osorio,23,183,75,66,71,56,67,57,58,31,63,ST,ATTACKER
L. Ayala,27,170,76,66,67,74,55,61,65,62,69,"LB, LM",DEFENDER
C. Diez,25,176,71,66,71,53,61,64,58,64,69,CDM,MIDFIELDER
C. Cuero,25,183,79,66,71,82,43,56,56,60,77,LB,DEFENDER
A. Alvarado,22,165,60,66,75,74,58,60,66,35,68,"LM, LW",MIDFIELDER
L. Iberico,23,180,74,66,72,69,66,51,66,25,62,"ST, LW",ATTACKER
S. Asan,22,170,67,66,72,70,44,55,64,64,49,"RB, RM",DEFENDER
P. Gueye,21,188,84,66,74,75,64,54,67,21,73,ST,ATTACKER
A. Ale,26,192,92,66,71,62,35,49,50,65,72,CB,DEFENDER
S. Mijnans,21,179,70,66,78,75,60,63,66,54,59,RM,MIDFIELDER
M. Rabuñal,27,184,77,66,69,59,41,58,58,65,69,CDM,MIDFIELDER
Valera,19,170,68,66,83,80,60,61,67,26,47,"RM, LM, CAM",MIDFIELDER
S. Abe,23,171,67,66,71,70,62,63,66,62,67,"CM, CDM",MIDFIELDER
J. Perlaza,23,168,68,66,71,76,58,60,65,29,54,"LM, LB",MIDFIELDER
A. Șeroni,34,195,90,66,66,32,34,42,42,65,81,CB,DEFENDER
B. Martínez,21,170,75,66,73,82,61,56,72,39,64,"RM, LM",MIDFIELDER
R. Villagra,20,178,76,66,80,66,47,62,64,61,70,CDM,MIDFIELDER
E. Valencia,21,176,68,66,77,70,63,63,69,59,63,"CM, LM, RM",MIDFIELDER
T. Escalante,21,170,67,66,74,72,58,65,70,56,59,CM,MIDFIELDER
Lobete,20,178,70,66,80,70,65,48,66,23,57,"ST, LM",ATTACKER
D. Velkovski,26,185,70,66,68,69,51,59,63,63,66,"LB, LWB",DEFENDER
N. Geyrhofer,21,188,77,66,75,57,27,40,46,66,70,CB,DEFENDER
J. Doig,19,189,70,66,79,72,54,58,63,63,70,"LB, LWB",DEFENDER
Y. Matsuo,23,170,65,66,70,84,61,60,68,58,63,"LM, CF",MIDFIELDER
A. Timossi Andersson,20,170,65,66,78,81,58,60,67,30,52,RM,MIDFIELDER
N. Sosa,25,177,66,66,70,54,67,52,63,25,59,"ST, CF",ATTACKER
K. Chodyna,22,176,68,66,76,79,47,55,61,59,64,RB,DEFENDER
A. Trezza,22,166,59,66,74,86,55,58,61,50,65,"RM, RW, LW",MIDFIELDER
J. Quinteros,20,184,76,66,77,61,26,41,52,67,68,CB,DEFENDER
M. Tamás,27,192,74,66,67,63,28,49,41,65,71,CB,DEFENDER
N. Molina,28,177,75,66,67,66,43,56,57,64,66,CDM,MIDFIELDER
A. Johnston,22,180,77,66,72,74,43,53,61,63,68,"RB, RM",DEFENDER
K. Fischer,20,182,77,66,73,73,38,60,64,62,67,"RB, CM, CDM",DEFENDER
A. Forrest,24,176,74,66,69,81,62,60,67,46,54,LM,MIDFIELDER
M. Cho,17,182,73,66,82,75,66,53,68,24,49,ST,ATTACKER
C. Reiner,23,197,88,66,73,41,29,54,40,66,75,CB,DEFENDER
T. Ortega,20,185,72,66,76,72,36,54,67,63,66,LB,DEFENDER
D. Thiam,31,179,67,66,66,85,25,45,54,62,71,"RB, RWB",DEFENDER
I. Boura,20,173,68,66,77,67,47,53,69,62,58,"LWB, LB",DEFENDER
E. Martel,19,187,81,66,84,66,46,58,59,66,71,CDM,MIDFIELDER
Fabiano Souza,21,170,64,66,79,80,34,46,60,61,65,"RB, RM",DEFENDER
K. Caliskaner,21,190,87,66,73,75,60,52,67,21,65,ST,ATTACKER
K. Ruiz-Atil,18,173,60,66,81,67,54,64,72,44,41,"CAM, CM",ATTACKER
A. Dedić,18,180,67,66,83,80,57,64,67,59,62,"RB, LB",DEFENDER
Iago López,22,177,66,66,76,76,31,54,63,60,66,"RB, LB",DEFENDER
F. Doucouré,20,172,61,66,77,79,37,56,65,61,56,RB,DEFENDER
Luís Mata,23,181,66,66,71,74,35,52,61,62,58,LB,DEFENDER
N. Patterson,19,178,66,66,80,81,44,57,63,62,69,RB,DEFENDER
K. Fujimoto,22,176,68,66,76,74,59,62,69,30,45,"RW, CAM",ATTACKER
B. Letić,28,184,78,66,66,66,57,52,62,63,62,LB,DEFENDER
M. Rente,24,184,84,66,72,75,29,44,52,65,74,CB,DEFENDER
F. Andueza,24,189,80,66,73,60,32,47,54,65,74,"CB, LB",DEFENDER
M. Mitaj,17,185,71,66,82,76,34,63,63,59,65,"LB, CB",DEFENDER
J. Oosterwolde,20,186,74,66,80,90,37,56,59,60,73,"LB, CB",DEFENDER
Jean Patric,24,175,67,66,71,86,64,58,69,30,46,"LW, RW",ATTACKER
N. Castro,30,181,79,66,66,68,66,59,67,34,61,"LW, LM, CM",ATTACKER
Martín Calderón,22,183,77,66,74,68,61,65,64,63,61,CM,MIDFIELDER
S. Kennedy,24,193,80,66,72,82,29,42,46,66,70,CB,DEFENDER
A. Cabrera,28,185,85,66,67,64,51,63,62,61,71,"CDM, CM",MIDFIELDER
Ž. Rogelj,21,170,65,66,78,76,51,61,68,58,66,"RM, RB",MIDFIELDER
Quintana,19,186,74,66,79,63,50,61,61,65,64,"CDM, CB",MIDFIELDER
Larrubia,19,172,59,66,80,67,58,65,70,36,41,CAM,ATTACKER
S. Tedić,21,191,80,66,78,63,65,52,63,25,73,ST,ATTACKER
D. Sinani,24,185,73,66,70,65,68,68,65,41,67,"CAM, RM, LM",ATTACKER
A. Çankaya,23,180,78,66,75,63,45,59,60,66,73,"CDM, CB, RB",MIDFIELDER
M. Braida,24,175,72,66,72,74,67,56,69,29,66,"LM, LW, RW",MIDFIELDER
Meseguer,22,184,76,66,75,65,52,67,66,63,67,"CM, CDM",MIDFIELDER
T. Dzvukamanja,27,178,66,66,67,74,70,51,65,32,61,"ST, LW, RW",ATTACKER
Yan Couto,19,169,62,66,81,82,52,55,65,60,58,"RB, RM, RWB",DEFENDER
A. Alipour,25,181,74,66,71,75,68,50,64,23,60,ST,ATTACKER
R. Vilca,22,175,68,66,76,74,62,65,70,44,59,"CAM, RW, LW",ATTACKER
O. Doumbia,29,175,70,66,66,67,36,59,59,62,77,CDM,MIDFIELDER
C. Clark,18,180,70,66,86,75,59,64,67,43,55,"CAM, CM",ATTACKER
E. Ramírez,22,190,81,66,74,51,66,46,60,22,65,ST,ATTACKER
M. Gusto,18,179,76,66,80,78,49,60,65,59,66,RB,DEFENDER
M. Portanova,21,183,77,66,79,66,59,68,67,52,60,"CM, CAM",MIDFIELDER
Terrats,20,180,75,66,80,58,43,61,61,64,67,"CDM, CM",MIDFIELDER
B. Aguirre,20,178,72,66,78,68,37,47,59,65,68,"RB, LB",DEFENDER
R. Toledo,31,175,74,66,66,62,57,60,65,60,58,CM,MIDFIELDER
K. Moreno,24,178,71,66,72,73,26,54,52,62,56,LB,DEFENDER
R. Fernández,23,177,68,66,71,73,58,59,68,26,54,LW,ATTACKER
O. Noronha,29,181,64,66,66,62,69,44,61,20,60,ST,ATTACKER
J. Fuentes,29,186,87,66,66,57,56,57,60,62,70,CDM,MIDFIELDER
I. Machuca,21,173,70,66,75,80,54,59,72,40,50,"RM, LM",MIDFIELDER
F. La Mantía,25,182,79,66,70,65,52,56,47,67,69,"CB, CDM",DEFENDER
V. Edvardsen,25,185,86,66,70,63,68,58,62,32,72,"ST, LW",ATTACKER
V. Ayala,32,179,80,66,66,76,28,50,67,62,62,"LB, LM",DEFENDER
Lautaro,20,185,77,66,80,65,67,46,65,20,57,ST,ATTACKER
D. Pérez,19,189,77,66,78,69,67,40,64,27,70,ST,ATTACKER
Jesús Vázquez,18,182,77,66,79,72,44,58,57,61,63,"LB, LWB",DEFENDER
André Amaro,18,186,76,66,77,61,44,52,61,66,70,CB,DEFENDER
R. Morales,22,176,69,66,73,69,67,44,65,23,52,ST,ATTACKER
K. Nishiya,27,165,65,66,66,74,63,61,65,44,54,"LM, CAM",MIDFIELDER
D. Dioses,25,174,70,66,67,67,61,64,66,65,68,"CM, CDM",MIDFIELDER
M. Rogers,18,187,80,66,84,80,65,60,65,39,64,LW,ATTACKER
N. Amarilla,33,180,75,66,66,60,29,50,35,68,74,"CB, LB",DEFENDER
L. Hurtado,27,178,75,66,66,65,64,67,64,62,61,"LM, LB, CM",MIDFIELDER
S. Nakamura,27,178,70,66,67,60,66,64,66,61,67,"CDM, CM, CAM",MIDFIELDER
Y. Imazu,25,184,80,66,69,57,33,49,46,66,71,"CB, RB",DEFENDER
E. Rivera,31,180,75,66,66,64,58,63,66,62,62,"CM, CDM",MIDFIELDER
A. Maglica,29,181,73,66,66,58,70,54,62,40,54,ST,ATTACKER
M. García,22,175,65,66,75,75,44,59,65,60,65,RB,DEFENDER
Arnau Martínez,18,181,75,66,80,69,40,55,62,66,61,"CB, RB, LB",DEFENDER
D. Kolinger,27,199,89,66,68,53,27,34,37,65,80,CB,DEFENDER
S. Radić,21,191,83,66,76,61,37,49,46,66,70,CB,DEFENDER
A. Hamdi,23,178,68,66,72,69,60,65,72,53,60,"CM, CAM",MIDFIELDER
R. Piñeiro,22,175,66,66,74,81,60,62,68,26,53,"RW, ST, LW",ATTACKER
T. Palacios,20,165,61,66,80,76,56,64,72,55,53,"RW, RM, LM",ATTACKER
A. Costa,21,179,74,66,73,70,28,56,61,66,70,CB,DEFENDER
D. Štefulj,21,186,78,66,74,72,50,57,66,59,69,"LB, LWB, LM",DEFENDER
J. López,20,188,81,66,80,54,67,48,61,32,62,ST,ATTACKER
J. Malatini,20,175,63,66,73,70,31,57,65,61,59,RB,DEFENDER
I. Maggi,22,178,74,66,74,76,66,51,65,28,60,ST,ATTACKER
A. Andrejević,29,188,76,66,67,59,38,53,58,65,72,CB,DEFENDER
Thiago Andrade,20,180,68,66,76,83,63,56,70,41,55,"LW, RW",ATTACKER
Miguel,19,180,73,66,81,71,40,47,58,64,58,LB,DEFENDER
Kayky,18,173,67,66,87,82,58,57,72,28,45,RW,ATTACKER
E. Darboe,20,176,70,66,77,62,46,61,62,63,60,CDM,MIDFIELDER
Carlos Domínguez,20,187,71,66,76,65,23,49,46,68,59,"CB, LB",DEFENDER
A. Bangura,21,183,75,66,74,86,24,47,63,59,74,LB,DEFENDER
Rubén,26,184,75,66,69,70,44,49,58,65,69,"CB, LB",DEFENDER
E. Tavşan,20,183,74,66,76,86,60,59,66,24,58,"RW, ST",ATTACKER
Chiquinho,21,179,72,66,76,80,61,58,69,29,56,"LW, LM",ATTACKER
Adílio Santos,27,178,72,66,66,71,70,61,66,30,53,"RW, LW",ATTACKER
Iker Seguín,31,183,71,66,66,68,57,67,63,39,50,"LM, LWB",MIDFIELDER
Olasagasti,20,176,74,66,76,64,50,64,59,61,68,"CDM, CM, CB",MIDFIELDER
J. Blasco,22,185,79,66,72,67,40,52,54,63,68,"RB, CB",DEFENDER
Rafael Santos,23,184,78,66,76,62,26,38,43,65,67,CB,DEFENDER
F. Zabala,22,171,65,66,76,68,26,49,56,62,49,"LB, LWB",DEFENDER
Nuno Moreira,22,175,66,66,74,71,62,65,70,33,44,"LW, RW",ATTACKER
Tomás Silva,21,172,65,66,75,74,51,68,67,53,53,"CM, CAM",MIDFIELDER
Ros,25,188,76,66,71,60,47,60,57,67,64,"CB, CDM",DEFENDER
E. Sahiti,22,174,65,66,74,83,60,56,70,29,50,"LW, LM",ATTACKER
V. Međimorec,25,189,82,66,68,70,38,34,41,67,71,CB,DEFENDER
D. Peretz,26,185,75,66,68,67,54,64,62,63,62,"CDM, CM",MIDFIELDER
E. Guerrero,24,165,68,66,71,72,66,56,69,27,46,"RW, CAM, LW",ATTACKER
Rodrigo Conceição,21,175,65,66,74,71,39,49,66,62,63,"RB, RM",DEFENDER
Álex Balde,17,175,69,66,82,76,35,53,66,62,48,"LB, LM",DEFENDER
E. Daniel,29,178,77,66,66,76,62,62,65,30,52,RM,MIDFIELDER
Beñat Prados,20,180,72,66,77,66,65,65,68,60,52,CM,MIDFIELDER
Gilson Tavares,19,185,70,66,77,80,65,56,71,20,50,"CF, ST",ATTACKER
T. Persyn,19,179,70,66,83,82,62,62,65,49,61,"RM, RW, RWB",MIDFIELDER
Léo Chú,21,178,78,66,78,74,68,58,68,30,52,LW,ATTACKER
A. Burlamaqui,19,180,71,66,79,58,41,63,59,60,57,"CDM, CM",MIDFIELDER
Gavi,16,173,68,66,85,66,53,67,69,50,48,CM,MIDFIELDER
N. Makhubela,27,166,57,66,66,73,78,56,67,39,51,"RW, LW, CAM",ATTACKER
P. Ndiaye,23,203,71,66,72,54,26,46,46,66,71,"CB, CDM",DEFENDER
M. Abline,18,176,70,66,83,75,68,54,69,23,48,ST,ATTACKER
J. Boselli,21,174,76,66,76,71,67,50,71,23,58,ST,ATTACKER
J. Bothroyd,39,190,89,65,65,29,65,59,60,28,68,ST,ATTACKER
D. Lewington,37,183,86,65,65,32,35,63,59,64,76,CB,DEFENDER
Y. Okubo,39,170,73,65,65,37,69,63,67,26,56,"ST, CAM, LW",ATTACKER
A. Baptiste,35,180,74,65,65,44,38,52,54,64,70,CB,DEFENDER
M. Roman,36,173,70,65,65,70,63,65,64,51,59,"RW, RM",ATTACKER
Kang Min Soo,35,186,74,65,65,53,38,49,53,65,69,CB,DEFENDER
J. Rzeźniczak,34,183,82,65,65,65,46,54,56,62,78,CB,DEFENDER
A. Akinfenwa,39,178,110,65,65,40,64,55,56,35,74,ST,ATTACKER
R. Wood,35,191,82,65,65,31,35,46,43,65,75,CB,DEFENDER
S. Holmén,37,180,74,65,65,61,64,66,65,65,64,CM,MIDFIELDER
M. Sonnleitner,34,182,82,65,65,66,36,49,50,64,71,CB,DEFENDER
C. Bryson,34,170,68,65,65,45,63,64,67,61,55,CM,MIDFIELDER
A. Busteño,25,191,90,65,65,54,39,54,45,69,65,CDM,MIDFIELDER
J. Adelalla,29,172,71,65,65,61,61,63,69,51,63,"CAM, CM",ATTACKER
B. Watson,35,181,80,65,65,33,60,64,61,65,65,"CDM, CM",MIDFIELDER
M. Jakobsen,35,184,81,65,65,51,43,54,55,63,76,CB,DEFENDER
A. Keogh,35,183,73,65,65,63,64,60,63,37,75,ST,ATTACKER
J. Walsh,29,182,70,65,65,64,40,55,53,64,74,CB,DEFENDER
Oh Beom Seok,36,181,79,65,65,65,58,64,61,64,67,"CDM, CM",MIDFIELDER
S. Whalley,33,176,67,65,65,88,63,60,68,42,62,"ST, RW",ATTACKER
